# N,K0,Re,CFL,VISC,STEPS,PALIN,SIG,TIME,DT,MINUTES,FPS,U,L,TAU_L,T_OVER_TAU_L,E(J),TS,AVERAGE_KIND,SPECTRUM_SAMPLES,T_START,T_END,TOTAL_DT,FIRST_STEP,LAST_STEP
# 8192,10,895834.1375582933,0.1,1.1162780676405386e-06,1000,380,3,0.005405560786576635,5.434923878055997e-06,1.3450946410497029,12.378311155121732,0.9984041669479471,0.5216967398920705,0.5225306115126318,0.010344964806805312,19.67625810808117,2026-05-10T13:57:26Z,simulation-time trapezoid,11,5.384892111570201e-06,0.005405560786576635,0.005400175894465065,1,1000
normalized_radius,shell_sum_energy,count
0.023449382595501146,2.6545464620211196e+16,328
0.023506927092668023,1.7438138565683832e+16,352
0.0235644715898349,5710254181124957.0,264
0.02362201608700177,3.3258905450994108e+16,348
0.023679560584168646,1.0690872841244764e+16,312
0.023737105081335523,9270825414570000.0,352
0.023794649578502393,3.1766352524909744e+16,304
0.02385219407566927,1.1214377791585538e+16,312
0.023909738572836146,1.3628678196409968e+16,316
0.023967283070003016,2.663021385550462e+16,372
0.024024827567169886,1.0895654334398018e+16,288
0.024082372064336763,2.2117578970404576e+16,380
0.02413991656150364,2.1400662285541452e+16,304
0.02419746105867051,6619208561017039.0,308
0.024255005555837386,2.587533136418203e+16,332
0.024312550053004263,1.7901666331490382e+16,352
0.024370094550171133,6642206099057416.0,316
0.02442763904733801,2.7136487576228896e+16,356
0.024485183544504886,1.6720644348991684e+16,296
0.024542728041671756,6567926037946307.0,360
0.024600272538838626,3.2751594704883956e+16,332
0.024657817036005503,1.3264017169334794e+16,364
0.02471536153317238,6578964432695916.0,276
0.02477290603033925,3.2995685508224692e+16,384
0.024830450527506126,1.0033412508575244e+16,296
0.024887995024673003,1.9333075100372908e+16,408
0.024945539521839873,2.12682559091655e+16,304
0.02500308401900675,1.1079166123933164e+16,336
0.025060628516173626,2.177296947452374e+16,344
0.025118173013340496,2.1994752785769924e+16,368
0.025175717510507366,6543467904636989.0,312
0.025233262007674243,2.743564384242095e+16,380
0.02529080650484112,1.6857537468225744e+16,296
0.02534835100200799,5683839057475484.0,364
0.025405895499174866,3.3546574515266852e+16,380
0.025463439996341743,1.0787987655036334e+16,344
0.025520984493508612,6158171430924054.0,292
0.02557852899067549,3.611186537708696e+16,420
0.025636073487842366,9867132861920546.0,296
0.025693617985009236,9583339052063432.0,380
0.025751162482176106,3.1084803605970976e+16,340
0.025808706979342982,1.0936829904143574e+16,336
0.02586625147650986,1.7769207825215916e+16,348
0.02592379597367673,2.6311961971695864e+16,408
0.025981340470843606,6394850248599090.0,304
0.026038884968010483,2.631751608683818e+16,408
0.026096429465177352,1.7264318025860786e+16,296
0.02615397396234423,6624712628729501.0,392
0.026211518459511106,2.763648511240835e+16,348
0.026269062956677976,1.6671226061051754e+16,380
0.026326607453844846,6110570707032355.0,296
0.026384151951011722,3.439070656599101e+16,436
0.0264416964481786,1.2188771361600376e+16,348
0.02649924094534547,3575011997817622.5,336
0.026556785442512346,3.627083293105215e+16,364
0.026614329939679222,1.1430856389455992e+16,384
0.026671874436846092,8051775430156712.0,332
0.02672941893401297,3.2039513316183936e+16,404
0.026786963431179846,9850117892590994.0,312
0.026844507928346716,2.27565036428991e+16,436
0.026902052425513585,2.1563578279654476e+16,324
0.026959596922680462,6481837485528179.0,360
0.02701714141984734,2.6451420367699972e+16,372
0.02707468591701421,1.8104503605594708e+16,416
0.027132230414181085,6033455430702460.0,304
0.027189774911347962,2.846403755426203e+16,400
0.027247319408514832,1.5388383523011224e+16,336
0.02730486390568171,6466679528818899.0,408
0.027362408402848586,3.4096053986703324e+16,372
0.027419952900015455,1.2158817991674758e+16,380
0.027477497397182325,4192373280732878.5,304
0.027535041894349202,3.678934035522166e+16,468
0.02759258639151608,1.0509596496992334e+16,336
0.02765013088868295,1.369739745862873e+16,392
0.027707675385849825,2.6353446666298124e+16,344
0.027765219883016702,1.065111060405308e+16,408
0.027822764380183572,2.21792354478053e+16,376
0.02788030887735045,2.1589890303633536e+16,424
0.027937853374517325,6400839124500831.0,344
0.027995397871684195,2.7576550118581096e+16,388
0.028052942368851065,1.6916758786130182e+16,360
0.028110486866017942,6351407523128922.0,404
0.02816803136318482,3.4291638654819084e+16,404
0.02822557586035169,1.2150220430437388e+16,368
0.028283120357518565,4090494856243855.0,320
0.028340664854685442,3.697127210204827e+16,488
0.028398209351852312,1.051618279777049e+16,368
0.02845575384901919,5030380357747158.0,372
0.028513298346186065,3.5136433983710948e+16,404
0.028570842843352935,9997296121492136.0,368
0.028628387340519805,1.418771740482602e+16,364
0.028685931837686682,3.025730068559009e+16,464
0.02874347633485356,6285370327272977.0,312
0.02880102083202043,2.268095325857453e+16,456
0.028858565329187305,2.2047084678851216e+16,344
0.028916109826354182,6334566912575325.0,424
0.02897365432352105,2.8690320544654292e+16,392
0.02903119882068793,1.584062879836547e+16,432
0.029088743317854805,5874826314179812.0,320
0.029146287815021675,3.5067503274604268e+16,460
0.029203832312188545,1.148957299168696e+16,356
0.02926137680935542,4399166172275885.0,400
0.0293189213065223,3.684586704215995e+16,428
0.029376465803689168,1.0632473093817206e+16,392
0.029434010300856045,7212606984778301.0,364
